alpha,l1_ratio,oof_mae,oof_rmse,mean_fold_mae,std_fold_mae,mean_fold_rmse,std_fold_rmse,max_iterations,convergence_warnings
0.1,0.9,16041.51756481739,27852.313009917358,16040.54374989213,1290.6650451388005,27124.02434280216,7048.484041225051,453,0
0.01,0.1,16046.917884325372,27827.25231632623,16045.943018801448,1268.1708264288875,27105.300772638147,7014.8956706797135,748,0
0.01,0.5,16097.899295619553,27716.614542889994,16096.900324914246,1163.8098838166525,27031.75927602786,6820.391144849362,1128,0
0.1,0.5,16359.419220405422,28465.945217924724,16358.27625697162,1742.6383754465694,27696.27892302231,7322.960254548179,175,0
0.01,0.9,16377.021808454498,27616.69203402526,16376.019875187432,1016.0374902954796,27038.422361832803,6260.51917831527,4536,0
0.001,0.1,16397.936033490198,27621.607442058128,16396.940584289932,1011.0834721916827,27050.487953290045,6222.572697269098,7484,0
0.001,0.5,16497.769425837883,27671.090587341983,16496.81086621563,984.8259857413467,27138.07758231879,6018.449646515887,11267,0
0.1,0.1,16678.459619823185,28814.55347162768,16677.23364183578,1879.1955293153924,28073.5002780783,7230.492891438572,163,0
0.001,0.9,16691.695901676783,27803.230239801895,16690.82792840842,904.2468967438265,27334.775994086824,5657.616237489141,45245,0
1.0,0.9,16749.042908113963,28888.478553018304,16747.80914297718,1902.0963576473498,28155.86230169658,7198.756542953858,124,0
1.0,0.5,18357.68499675365,30910.052323220847,18356.420918918135,2136.3541908976363,30363.266437626356,6438.450336290813,49,0
1.0,0.1,19418.506009576136,32448.976846296522,19417.164176602713,2188.3725420044507,31959.847083262976,6240.372331817262,39,0
10.0,0.9,19666.093378795395,32814.44765219701,19664.734217436042,2197.654407549299,32333.610285940733,6222.142429760968,26,0
10.0,0.5,27592.349233189678,43636.894652551026,27590.366339981912,2668.0848959209757,43235.50160906844,6556.893139999225,10,0
10.0,0.1,33633.16334401421,50682.444611658415,33630.93397820435,2771.4748418344784,50322.04765387863,6693.938936130457,8,0
100.0,0.9,34861.14618364453,52124.09318708049,34858.87314163876,2776.771983943288,51772.02644951524,6708.925846918118,6,0
100.0,0.5,49321.735523784475,69399.90711518195,49319.30170515928,2827.5267655568323,69133.55965841853,6721.413562341571,5,0
100.0,0.1,52144.84567221713,72794.33838880129,52142.41883187208,2839.6200640578604,72541.68597710371,6701.471756960513,4,0
1000.0,0.9,52669.14376258069,73419.8743992527,52666.7147769032,2841.6692321978885,73169.61636342647,6697.6417823624515,4,0
1000.0,0.5,55526.170667743805,76869.76550297979,55523.74061799942,2852.0138366111632,76632.33358129105,6671.97219720791,3,0
1000.0,0.1,55869.68752175888,77283.23131461107,55867.255695036496,2853.3658831626976,77047.27850558228,6668.61473471794,3,0
