Order,Neighborhood,y_true,y_pred,residual,absolute_error,lower_bound,upper_bound,covered,miss_direction
1499,Edwards,160000.0,754968.4607863729,-594968.4607863729,594968.4607863729,722352.1246836386,787584.7968891072,False,below_lower
434,NridgHt,582933.0,417190.1331057878,165742.8668942122,165742.8668942122,384573.7970030535,449806.4692085221,False,above_upper
2446,NoRidge,625000.0,476238.9074241468,148761.09257585322,148761.09257585322,443622.57132141246,508855.2435268811,False,above_upper
433,NridgHt,610000.0,472077.36916660913,137922.63083339087,137922.63083339087,439461.0330638748,504693.70526934345,False,above_upper
1641,StoneBr,392000.0,269145.94971932826,122854.05028067174,122854.05028067174,236529.6136165939,301762.28582206264,False,above_upper
427,NridgHt,253293.0,344841.7079732744,-91548.7079732744,91548.7079732744,312225.3718705401,377458.0440760087,False,below_lower
424,NridgHt,555000.0,465700.00966027647,89299.99033972353,89299.99033972353,433083.67355754215,498316.3457630108,False,above_upper
1916,NAmes,129000.0,200258.50195886084,-71258.50195886084,71258.50195886084,167642.1658561265,232874.8380615952,False,below_lower
2383,NridgHt,465000.0,396896.38450896135,68103.61549103865,68103.61549103865,364280.048406227,429512.72061169567,False,above_upper
1642,StoneBr,441929.0,379444.2267483511,62484.773251648876,62484.773251648876,346827.8906456168,412060.56285108544,False,above_upper
