max_depth,min_samples_leaf,max_features,oof_mae,oof_rmse,mean_fold_mae,std_fold_mae,mean_fold_rmse,std_fold_rmse
,1,0.7,16172.996769434962,27366.945273927355,16172.584961026936,1324.217792633755,27075.13277478651,4439.88337760008
16.0,1,0.7,16176.920033827873,27287.48164381882,16176.46486752214,1339.1754461430758,27003.124113233334,4377.1017648224
16.0,2,0.7,16310.352412094368,27565.8427764794,16309.866027302045,1410.9358838247203,27267.623390106437,4504.452480391946
,2,0.7,16343.05110733359,27666.816650829376,16342.542023060549,1387.8595348003623,27356.271219522394,4604.725902136332
,1,1.0,16549.286863860445,28042.926487923352,16549.085611864375,1396.7149030560954,27730.521273849525,4655.275765136391
,4,0.7,16563.371584069882,27816.643822613438,16562.887848848728,1448.959064484667,27519.970309127802,4514.477536428659
16.0,4,0.7,16578.57695125111,27832.428282081535,16578.12564822133,1432.2275229182933,27538.937975756515,4492.168699162008
16.0,1,1.0,16580.732887792117,28052.782053185423,16580.499486855362,1415.7341567332483,27739.8346942686,4660.201546960309
,2,1.0,16664.12866149707,28252.652108257866,16663.90324848114,1451.083672857782,27926.040872300095,4777.055027822941
16.0,2,1.0,16679.82977890489,28282.285478307796,16679.611596478986,1463.6153056526477,27957.027470480338,4770.110182899589
16.0,4,1.0,16854.89597102459,28493.139958058604,16854.78416949008,1504.3273856188046,28178.99975473301,4707.657922302174
,4,1.0,16856.034284199137,28493.454840991402,16855.922901367827,1502.5495904946424,28179.30156452173,4707.781343469723
