Order,Yr Sold,random_partition,temporal_partition
1,2010,test,test
2,2010,train,test
3,2010,train,test
4,2010,train,test
5,2010,train,test
6,2010,train,test
7,2010,train,test
8,2010,test,test
9,2010,test,test
10,2010,train,test
11,2010,train,test
12,2010,train,test
13,2010,test,test
14,2010,calibration,test
15,2010,train,test
16,2010,train,test
17,2010,train,test
18,2010,train,test
19,2010,calibration,test
20,2010,train,test
21,2010,train,test
22,2010,train,test
23,2010,train,test
24,2010,test,test
25,2010,train,test
26,2010,test,test
27,2010,train,test
28,2010,train,test
29,2010,train,test
30,2010,calibration,test
31,2010,calibration,test
32,2010,train,test
33,2010,test,test
34,2010,train,test
35,2010,train,test
36,2010,train,test
37,2010,train,test
38,2010,train,test
39,2010,train,test
40,2010,train,test
41,2010,train,test
42,2010,train,test
43,2010,train,test
44,2010,calibration,test
45,2010,calibration,test
46,2010,test,test
47,2010,train,test
48,2010,train,test
49,2010,test,test
50,2010,calibration,test
51,2010,train,test
52,2010,test,test
53,2010,test,test
54,2010,train,test
55,2010,train,test
56,2010,train,test
57,2010,calibration,test
58,2010,test,test
59,2010,train,test
60,2010,test,test
61,2010,train,test
62,2010,train,test
63,2010,train,test
64,2010,calibration,test
65,2010,train,test
66,2010,calibration,test
67,2010,train,test
68,2010,test,test
69,2010,train,test
70,2010,test,test
71,2010,calibration,test
72,2010,train,test
73,2010,train,test
74,2010,calibration,test
75,2010,train,test
76,2010,train,test
77,2010,test,test
78,2010,train,test
79,2010,train,test
80,2010,train,test
81,2010,calibration,test
82,2010,train,test
83,2010,train,test
84,2010,train,test
85,2010,calibration,test
86,2010,test,test
87,2010,train,test
88,2010,calibration,test
89,2010,train,test
90,2010,train,test
91,2010,train,test
92,2010,train,test
93,2010,train,test
94,2010,test,test
95,2010,train,test
96,2010,train,test
97,2010,calibration,test
98,2010,train,test
99,2010,train,test
100,2010,calibration,test
101,2010,calibration,test
102,2010,train,test
103,2010,calibration,test
104,2010,train,test
105,2010,calibration,test
106,2010,test,test
107,2010,train,test
108,2010,train,test
109,2010,calibration,test
110,2010,calibration,test
111,2010,train,test
112,2010,calibration,test
113,2010,train,test
114,2010,train,test
115,2010,train,test
116,2010,calibration,test
117,2010,train,test
118,2010,train,test
119,2010,calibration,test
120,2010,train,test
121,2010,test,test
122,2010,test,test
123,2010,train,test
124,2010,calibration,test
125,2010,test,test
126,2010,train,test
127,2010,train,test
128,2010,train,test
129,2010,calibration,test
130,2010,train,test
131,2010,train,test
132,2010,train,test
133,2010,train,test
134,2010,train,test
135,2010,calibration,test
136,2010,calibration,test
137,2010,train,test
138,2010,train,test
139,2010,train,test
140,2010,test,test
141,2010,train,test
142,2010,calibration,test
143,2010,train,test
144,2010,train,test
145,2010,train,test
146,2010,train,test
147,2010,train,test
148,2010,train,test
149,2010,train,test
150,2010,test,test
151,2010,train,test
152,2010,calibration,test
153,2010,test,test
154,2010,train,test
155,2010,train,test
156,2010,train,test
157,2010,train,test
158,2010,calibration,test
159,2010,calibration,test
160,2010,train,test
161,2010,train,test
162,2010,train,test
163,2010,test,test
164,2010,calibration,test
165,2010,train,test
166,2010,train,test
167,2010,test,test
168,2010,train,test
169,2010,calibration,test
170,2010,train,test
171,2010,calibration,test
172,2010,train,test
173,2010,train,test
174,2010,calibration,test
175,2010,test,test
176,2010,calibration,test
177,2010,train,test
178,2010,calibration,test
179,2010,test,test
180,2010,calibration,test
181,2010,train,test
182,2010,train,test
183,2010,train,test
184,2010,test,test
185,2010,test,test
186,2010,calibration,test
187,2010,train,test
188,2010,train,test
189,2010,test,test
190,2010,train,test
191,2010,train,test
192,2010,train,test
193,2010,test,test
194,2010,train,test
195,2010,calibration,test
196,2010,train,test
197,2010,test,test
198,2010,train,test
199,2010,train,test
200,2010,calibration,test
201,2010,train,test
202,2010,train,test
203,2010,train,test
204,2010,test,test
205,2010,train,test
206,2010,train,test
207,2010,train,test
208,2010,train,test
209,2010,calibration,test
210,2010,train,test
211,2010,calibration,test
212,2010,test,test
213,2010,calibration,test
214,2010,train,test
215,2010,train,test
216,2010,train,test
217,2010,train,test
218,2010,train,test
219,2010,test,test
220,2010,test,test
221,2010,test,test
222,2010,test,test
223,2010,test,test
224,2010,train,test
225,2010,train,test
226,2010,train,test
227,2010,calibration,test
228,2010,train,test
229,2010,train,test
230,2010,calibration,test
231,2010,test,test
232,2010,test,test
233,2010,train,test
234,2010,calibration,test
235,2010,train,test
236,2010,train,test
237,2010,train,test
238,2010,test,test
239,2010,calibration,test
240,2010,calibration,test
241,2010,test,test
242,2010,train,test
243,2010,train,test
244,2010,train,test
245,2010,train,test
246,2010,train,test
247,2010,calibration,test
248,2010,test,test
249,2010,train,test
250,2010,train,test
251,2010,train,test
252,2010,test,test
253,2010,test,test
254,2010,train,test
255,2010,test,test
256,2010,train,test
257,2010,calibration,test
258,2010,test,test
259,2010,train,test
260,2010,calibration,test
261,2010,train,test
262,2010,calibration,test
263,2010,train,test
264,2010,calibration,test
265,2010,train,test
266,2010,train,test
267,2010,calibration,test
268,2010,train,test
269,2010,train,test
270,2010,calibration,test
271,2010,test,test
272,2010,train,test
273,2010,test,test
274,2010,train,test
275,2010,train,test
276,2010,test,test
277,2010,calibration,test
278,2010,train,test
279,2010,calibration,test
280,2010,test,test
281,2010,train,test
282,2010,calibration,test
283,2010,test,test
284,2010,test,test
285,2010,train,test
286,2010,train,test
287,2010,test,test
288,2010,test,test
289,2010,train,test
290,2010,calibration,test
291,2010,test,test
292,2010,test,test
293,2010,train,test
294,2010,train,test
295,2010,train,test
296,2010,train,test
297,2010,test,test
298,2010,test,test
299,2010,calibration,test
300,2010,calibration,test
301,2010,test,test
302,2010,train,test
303,2010,train,test
304,2010,test,test
305,2010,test,test
306,2010,train,test
307,2010,calibration,test
308,2010,test,test
309,2010,test,test
310,2010,test,test
311,2010,train,test
312,2010,calibration,test
313,2010,train,test
314,2010,calibration,test
315,2010,calibration,test
316,2010,calibration,test
317,2010,calibration,test
318,2010,train,test
319,2010,calibration,test
320,2010,train,test
321,2010,train,test
322,2010,test,test
323,2010,test,test
324,2010,train,test
325,2010,test,test
326,2010,calibration,test
327,2010,train,test
328,2010,train,test
329,2010,train,test
330,2010,train,test
331,2010,train,test
332,2010,test,test
333,2010,calibration,test
334,2010,train,test
335,2010,train,test
336,2010,train,test
337,2010,train,test
338,2010,train,test
339,2010,train,test
340,2010,train,test
341,2010,test,test
342,2009,train,calibration
343,2009,calibration,calibration
344,2009,calibration,calibration
345,2009,test,calibration
346,2009,train,calibration
347,2009,train,calibration
348,2009,test,calibration
349,2009,train,calibration
350,2009,test,calibration
351,2009,test,calibration
352,2009,test,calibration
353,2009,train,calibration
